attendance_binary,previous_attendance,previous_away_team_errors,previous_away_team_hits,previous_away_team_runs,game_type,previous_game_type,previous_home_team_errors,previous_home_team_hits,previous_home_team_runs,game_day,previous_game_day,temperature,wind_speed,sky,previous_game_duration,previous_homewin
0,43683,2,6,2,Night Game,Day Game,0,6,6,Wednesday,Monday,55,24,Overcast,2.933333333,1
0,45785,0,7,2,Night Game,Day Game,0,10,3,Wednesday,Monday,48,7,Unknown,2.8,1
0,48282,0,8,4,Night Game,Day Game,2,4,3,Wednesday,Monday,65,10,Cloudy,3.383333333,0
0,21830,0,9,6,Day Game,Night Game,0,15,11,Wednesday,Tuesday,77,0,In Dome,3.233333333,1
0,49289,2,4,2,Night Game,Day Game,1,1,3,Tuesday,Monday,81,12,Cloudy,2.633333333,1
0,15116,1,7,5,Night Game,Night Game,0,8,3,Tuesday,Monday,72,0,In Dome,2.966666667,0
0,44317,0,17,15,Night Game,Day Game,2,4,0,Tuesday,Monday,70,6,Unknown,3.166666667,0
0,39500,0,5,1,Night Game,Day Game,1,9,4,Tuesday,Sunday,40,7,Sunny,3.033333333,1
0,35067,1,7,4,Night Game,Night Game,2,7,3,Tuesday,Monday,70,8,Cloudy,2.933333333,0
0,44318,0,15,12,Night Game,Day Game,1,8,3,Tuesday,Monday,64,0,In Dome,3.583333333,0
0,30834,1,5,2,Night Game,Day Game,0,6,1,Monday,Sunday,57,2,Unknown,3.05,0
0,12577,1,10,6,Night Game,Day Game,2,4,1,Monday,Thursday,63,11,Cloudy,3.1,0
0,37233,0,9,5,Night Game,Day Game,0,4,2,Monday,Sunday,57,15,Unknown,2.95,0
0,32419,1,13,8,Day Game,Day Game,1,7,4,Monday,Saturday,56,9,Overcast,3.333333333,0
0,24109,1,8,4,Night Game,Night Game,1,6,2,Thursday,Wednesday,75,2,Cloudy,3.05,0
0,21891,1,7,6,Day Game,Night Game,0,18,10,Thursday,Wednesday,72,12,Cloudy,3.116666667,1
1,36496,0,7,2,Night Game,Night Game,0,8,9,Thursday,Wednesday,45,8,Sunny,3.05,1
0,18378,0,6,1,Night Game,Night Game,1,8,2,Wednesday,Tuesday,56,0,Sunny,2.783333333,1
0,28819,1,7,3,Night Game,Night Game,1,3,2,Wednesday,Tuesday,68,0,In Dome,3.05,0
0,23101,0,8,3,Night Game,Day Game,1,11,5,Tuesday,Sunday,69,11,Sunny,2.883333333,1
0,23214,1,10,12,Night Game,Day Game,0,11,7,Tuesday,Sunday,80,2,Unknown,3.916666667,0
